Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","CP_Radial_D5.0mm_P2.50mm",77.874888,-87.100000,0.000000,top
"C2","10µF","CP_Radial_D5.0mm_P2.50mm",77.800000,-96.110000,0.000000,top
"C3","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",125.580000,-90.510000,0.000000,top
"C4","10uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",140.850000,-90.630000,0.000000,top
"C7","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",142.610000,-112.470000,90.000000,top
"C8","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",181.120000,-27.250000,90.000000,top
"C9","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",187.470000,-27.400000,90.000000,top
"D1","GREEN LED","LED_D5.0mm",83.230000,-56.170000,0.000000,top
"D2","RED LED","LED_D5.0mm",94.610000,-55.960000,0.000000,top
"J1","TP4056 Module","PinHeader_1x02_P2.54mm_Vertical",97.780000,-30.870000,0.000000,top
"J2","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",182.890000,-119.660000,180.000000,top
"J3","SD CARD READER","PinHeader_1x06_P2.54mm_Horizontal",87.560000,-104.980000,-90.000000,top
"J4","J5A - INMP441 Left","PinHeader_1x03_P2.54mm_Vertical",150.440000,-109.940000,0.000000,top
"J5","J5B - INMP441 Right","PinHeader_1x06_P2.54mm_Vertical",166.780000,-107.260000,0.000000,top
"J6","UART_HEADER","PinHeader_1x08_P2.54mm_Vertical",158.210000,-66.440000,0.000000,top
"J7","Display connector","PinHeader_1x08_P2.54mm_Vertical",175.030000,-21.810000,0.000000,top
"J8","MAX 98357A_left","PinHeader_1x02_P2.54mm_Vertical",117.700000,-109.260000,180.000000,top
"J9","MAX 98357A_right","PinHeader_1x07_P2.54mm_Vertical",135.160000,-100.010000,0.000000,top
"R1","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",73.840000,-67.360000,-90.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",105.350000,-68.540000,-90.000000,top
"R4","150","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",77.930000,-61.060000,90.000000,top
"R5","150","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",102.020000,-61.610000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm",78.830000,-68.810000,0.000000,top
"SW2","SW_Push","SW_PUSH_6mm",93.410000,-68.560000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",135.060000,-71.300000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",89.850000,-91.550000,0.000000,top
